date,vaccine,total_vaccinations
2020-12,Covaxin,0
2020-12,Johnson&Johnson,11
2020-12,Moderna,272
2020-12,Novavax,0
2020-12,Oxford/AstraZeneca,35
2020-12,Pfizer/BioNTech,1435939
2020-12,Sinopharm/Beijing,3
2020-12,Sinovac,0
2020-12,Sputnik V,104452
2021-01,Covaxin,0
2021-01,Johnson&Johnson,3050
2021-01,Moderna,150143873
2021-01,Novavax,0
2021-01,Oxford/AstraZeneca,15608
2021-01,Pfizer/BioNTech,481056504
2021-01,Sinopharm/Beijing,893
2021-01,Sinovac,357
2021-01,Sputnik V,6728256
2021-02,CanSino,72
2021-02,Covaxin,11
2021-02,Johnson&Johnson,6869
2021-02,Moderna,718255514
2021-02,Novavax,3
2021-02,Oxford/AstraZeneca,35107234
2021-02,Pfizer/BioNTech,1720579290
2021-02,Sinopharm/Beijing,4168659
2021-02,Sinovac,51504004
2021-02,Sputnik V,19685971
2021-03,CanSino,93
2021-03,Covaxin,55
2021-03,Johnson&Johnson,47087996
2021-03,Moderna,1816313599
2021-03,Novavax,31
2021-03,Oxford/AstraZeneca,482531958
2021-03,Pfizer/BioNTech,3879676488
2021-03,Sinopharm/Beijing,51130026
2021-03,Sinovac,217890941
2021-03,Sputnik V,57123838
2021-04,CanSino,118
2021-04,Covaxin,136
2021-04,Johnson&Johnson,203729564
2021-04,Moderna,3053483982
2021-04,Novavax,30
2021-04,Oxford/AstraZeneca,1154295598
2021-04,Pfizer/BioNTech,7106245897
2021-04,Sinopharm/Beijing,106749020
2021-04,Sinovac,389226344
2021-04,Sputnik V,143377951
2021-05,CanSino,286
2021-05,Covaxin,183
2021-05,Johnson&Johnson,359142514
2021-05,Moderna,4348984861
2021-05,Novavax,31
2021-05,Oxford/AstraZeneca,1981630129
2021-05,Pfizer/BioNTech,12081905596
2021-05,Sinopharm/Beijing,176112472
2021-05,Sinovac,540824206
2021-05,Sputnik V,235308109
2021-06,CanSino,6479762
2021-06,Covaxin,246
2021-06,Johnson&Johnson,669126768
2021-06,Moderna,5356440661
2021-06,Novavax,30
2021-06,Oxford/AstraZeneca,2868923654
2021-06,Pfizer/BioNTech,17470055640
2021-06,Sinopharm/Beijing,213616165
2021-06,Sinovac,667528546
2021-06,Sputnik V,312525458
2021-07,CanSino,15028924
2021-07,Covaxin,298
2021-07,Johnson&Johnson,903067842
2021-07,Moderna,6346409877
2021-07,Novavax,31
2021-07,Oxford/AstraZeneca,3856604119
2021-07,Pfizer/BioNTech,24146504132
2021-07,Sinopharm/Beijing,334922016
2021-07,Sinovac,890736107
2021-07,Sputnik V,395259319
2021-08,CanSino,17241945
2021-08,Covaxin,333
2021-08,Johnson&Johnson,1069029718
2021-08,Moderna,7190772409
2021-08,Novavax,31
2021-08,Oxford/AstraZeneca,4250626390
2021-08,Pfizer/BioNTech,26567828364
2021-08,Sinopharm/Beijing,564071317
2021-08,Sinovac,1131745859
2021-08,Sputnik V,441221844
2021-09,CanSino,26866116
2021-09,Covaxin,330
2021-09,Johnson&Johnson,1111025433
2021-09,Moderna,7379072451
2021-09,Novavax,30
2021-09,Oxford/AstraZeneca,4437696306
2021-09,Pfizer/BioNTech,27805405528
2021-09,Sinopharm/Beijing,787359436
2021-09,Sinovac,1237171981
2021-09,Sputnik V,495380425
2021-10,CanSino,32842309
2021-10,Covaxin,341
2021-10,Johnson&Johnson,1237370252
2021-10,Moderna,8179936972
2021-10,Novavax,31
2021-10,Oxford/AstraZeneca,4739156431
2021-10,Pfizer/BioNTech,31217753677
2021-10,Sinopharm/Beijing,1053432687
2021-10,Sinovac,1384805049
2021-10,Sputnik V,573900844
2021-11,CanSino,33782507
2021-11,Covaxin,330
2021-11,Johnson&Johnson,1241441450
2021-11,Moderna,8020449643
2021-11,Novavax,30
2021-11,Oxford/AstraZeneca,4575728692
2021-11,Pfizer/BioNTech,31751231688
2021-11,Sinopharm/Beijing,1193946690
2021-11,Sinovac,1506763512
2021-11,Sputnik V,582628637
2021-12,CanSino,37293817
2021-12,Covaxin,341
2021-12,Johnson&Johnson,1383213353
2021-12,Moderna,10388896787
2021-12,Novavax,31
2021-12,Oxford/AstraZeneca,4747033128
2021-12,Pfizer/BioNTech,37550948867
2021-12,Sinopharm/Beijing,1391857742
2021-12,Sinovac,1699506399
2021-12,Sputnik V,620448786
2022-01,CanSino,41742119
2022-01,Covaxin,341
2022-01,Johnson&Johnson,1396342248
2022-01,Moderna,12780290484
2022-01,Novavax,31
2022-01,Oxford/AstraZeneca,4721851060
2022-01,Pfizer/BioNTech,40907911386
2022-01,Sinopharm/Beijing,1498201310
2022-01,Sinovac,1724927690
2022-01,Sputnik V,645480129
2022-02,CanSino,30398687
2022-02,Covaxin,308
2022-02,Johnson&Johnson,1339691732
2022-02,Moderna,13017903827
2022-02,Novavax,591903
2022-02,Oxford/AstraZeneca,4214052911
2022-02,Pfizer/BioNTech,39493630019
2022-02,Sinopharm/Beijing,1597525981
2022-02,Sinovac,1154331022
2022-02,Sputnik V,614055763
2022-03,CanSino,29720920
2022-03,Covaxin,319
2022-03,Johnson&Johnson,1651097081
2022-03,Moderna,14324792409
2022-03,Novavax,7675870
2022-03,Oxford/AstraZeneca,4386256244
2022-03,Pfizer/BioNTech,42653786022
2022-03,Sinopharm/Beijing,1903912100
2022-03,Sinovac,810201258
2022-03,Sputnik V,644113417
